Job No.,Project Name,Address,Permit,Contractor,Cell Phone,Project Manager,
17-0645a,HighPoint Block 9 Townhomes - Bldg. 01,"3250 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter,
17-0645b,HighPoint Block 9 Townhomes - Bldg. 02,"3300 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter,
17-0645c,HighPoint Block 9 Townhomes - Bldg. 03,"3320 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter,
17-0645d,HighPoint Block 9 Townhomes - Bldg. 04,"3260 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter,
17-0645e,HighPoint Block 9 Townhomes - Bldg. 05,"3270 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter,
17-0645f,HighPoint Block 9 Townhomes - Bldg. 06,"3280 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter,
17-0645g,HighPoint Block 9 Townhomes - Bldg. 07,"3400 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter,
17-0645h,HighPoint Block 9 Townhomes - Bldg. 08,"3410 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter,
17-0645i,HighPoint Block 9 Townhomes - Bldg. 09,"3430 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter,
17-0645j,HighPoint Block 9 Townhomes - Bldg. 10,"3420 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter,
17-0645k,HighPoint Block 9 Townhomes - Bldg. 11,"3450 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter,
17-0209a,Hive Roosevelt - Structural,"6717 Roosevelt Way NE, Seattle",6534447,WG Clark Construction Co,(206) 305-6154,Jeff,
19-0080,Hoch Residence,"3610 W. Commodore Way, Seattle",6620033-CN,"Gregerson Custom Homes,",(425) 691-0042,Isaac,
18-0830,Holly Hills Residence,"23 Holly Hills Drive, Mercer Island",1803-180,"Toth Construction, Inc.",(206) 418-9835,Isaac,
18-0891,Holman Distribution,"22430 76th Avenue South, Kent",RC11-2182597,Key Mechanical,206-396-3019,Isaac,
18-0958,Holy Family Kirkland CGS Classroom Buildi,"7355 120th Ave NE, Kirkland",BNR18-03676,Hamish Anderson Custom,(215) 756-3909,Jeff,
18-0859,Honeywell Clean Room Expansion,"15015 NE 36th Street, Redmond",,"Swinerton Builders, Inc.",,Anthony,
17-0910,Honeywell MEMS Floor,"15001 NE 36th Street, Redmond",n/a,"Swinerton Builders, Inc.",(425) 829-8601,Anthony,
19-0034,Howe Condominiums Foundation Repair,"507 Howe Street, Unit C, Seattle",6670497-CN,"Andre, Michael",(425) 691-0075,Walter,
18-0131,Hudson Townhomes,"3910 South Hudson Street, Seattle",6531146,"Orcas Homes, LLC",(253) 653-9545,Isaac,
19-0081,Huey Basement Remodel,"2515 West Smith Street, Seattle",6697819-CN,Joseph McKinstry Construct,(206) 948-5511,Isaac,
19-0045,Huntington Park West H.O. Association,"1000 S 248th St, Des Moines",,,,Scott,
19-0024,Huppert Residence,"1920 30th Avenue S, Seattle",6648552,Chaffey Custom Constructio,,Jeff,
18-0576,Huynh Short Plat,"621 S 103rd Street, Seattle",LUIS13-0032,"Idares Construction, LLC",,Jeff,
18-0957,Hydro Systems,"7028 South 204th Street, Kent",CNST-2182453,TCL Partners,(425) 315-5193,Jeff,
18-0431,Ingraham High School Addition,"1819 N. 135th Street, Seattle",6583445,Cornerstone General Contra,(360) 854-8334,Walter,
19-0036,Inspirus Credit Union Bremerton WA,"5373 Auto Center Way, Bremerton",BB1800466,Tricon Commercial Constru,,Jeff,
19-0031,Inspirus Credit Union Store Kirkland 2734,"10020 NE 137th St, Kirkland",BNR18-07944,Tricon Commercial Constru,(425) 577-9713,Isaac,
19-0083,Install New Awning,"8021 S 198th St, Kent",2183229,Southcreek Construction LL,(253) 988-0283,Jeff,
17-0409,Integrated Education Center - RH Testing,"6000 16th Avenue SW, Seattle",,"West Coast Flooring, Inc.",(253) 970-7270,Isaac,
19-0090,Intellectual Ventures Mezzanine Expansion,"14360 SE Eastgate Way, Bellevue",18 102894 BZ,"Swinerton Builders, Inc.",(425) 283-5197,Isaac,
18-0468,Island Soul Restaurant,"4869 Rainer Avenue South, Seattle",6588357,"Rafn Company, Inc.",(206) 510-2659,Isaac,
18-0834,Jackson,"1425 S Jackson Street, Seattle",6611600-CN,"Craftsman Construction, Inc",(206) 619-4501,Jeff,
18-1030,Jamshidiat Garage Remodel,"478 West Lake Sammamish Pkwy, Bellevue",18-126623-UC,"Jamshidiat, Hamid",(425) 445-3260,Jeff,
18-0965,JauJou Foundation,"19918 76th Avenue NE, Kenmore",BLD18-0751,Griffin Foundation Repair,(206) 707-5731,Scott,
18-0507,Javaheri Residence,"446 Comstock Place, Seattle",6382791,"Kenco of Washington, Inc.",(206) 391-0370,Isaac,
17-0981,JD 65,"6575 NE Windemere Road, Seattle",6556009,"Schultz Miller, Inc.",206-551-9664,Isaac,
17-0351a,Jefferson Park Apartments - Structural,"2902 Beacon Avenue South, Seattle",6552298,Edge Developers/MarPac C,(206) 226-5835,Walter,
18-0901,Jesse Howard Residence,"30 Kearney Drive, Snoqualmie Pass",BP-18-00618 How,ROK Builders,"T (805) 570-9820,",Isaac,
18-0627,Jimi Hendrix Park Wave Wall,"2400 South Massachusetts St, Seattle",,,,Isaac,
18-0436,Jimmy B,"507 22nd Avenue, Seattle",6453103,,(206) 747-6919,Isaac,
18-0986,JL Facility Solutions,"18035 Sperry Drive, Tukwila",,"Rainier Industries, Ltd.",,Walter,
18-0973,Johnson Studio,"932 NW 122nd Street, Seattle",6623356,,206-669-5159,Isaac,
18-0392,Jones Residence (Erik),"3820 E Howe Street, Seattle",333175,"March-MacDonald, Inc.",(206) 793-1048,Isaac,
19-0021,Juanita Bay Condominium - Exterior Remed,"9201 NE Juanita Drive, Kirkland",BMF18-01686,"Pacific Building Envelope, I",(425) 770-5746,Jeff,
14-0103,Juanita Bay Veterinary/ AWI Office,"11496 98th Avenue NE, Kirkland",BNR 13-04519,"Corstone Contractors, LLC",(425) 870-5894,Jeff,
18-0889,Kamin Building,"5101 14th Avenue NW, Seattle",6571124-CN,Kamin Excavation/Commer,(206) 423-8907,Isaac,
18-1086,Kashani Residence (Ali),"306 13th Ave, Kirkland",BSF18-00509,Artoush Construction & Re,(425) 890-9995,Isaac,
18-0758,Kearney Lowes Residence,"1502 Grand Ave, Seattle",6624190-CN,McBride Construction Reso,(206) 235-1672,Isaac,
17-0317a,Ken Phillips House - Structural,"1945 82nd Ave SE, Mercer Island",1602-198,"March-MacDonald, Inc.",(206) 793-1048,Walter,
18-0652,Kent Supreme Self Storage - Bldg. A,"25301 Pacific Highway South, Kent",CNST 2164093,"JPR Construction, Inc.",(253) 221-1000,Isaac,
18-0396,Kent Supreme Self Storage - Bldg. C,"25301 Pacific Highway South, Kent",CNST 2164095,"JPR Construction, Inc.",(253) 221-1000,Isaac,
18-0593,Kent YMCA,"10920 SE 248th St, Kent",2180452,"Abbott Construction, Inc.",(425) 346-3165,Walter,
18-0937,Kiddie Academy of Bellevue,"990 102nd Ave NE, Bellevue",18-110422BW,JMS Construction,(206) 459-0907,Isaac,
18-0625,King Chapman Apartments,"304 10th Ave. E, Seattle",6590597,Fairbank Construction Com,206-948-1150,Isaac,
18-0449,King Street Arts TI,"303 S. Jackson Street, Seattle",6575705,Centennial Contractors Ente,(253) 249-4885,Isaac,
18-1021,Kipp Residence,"1685 10th Street West, Kirkland",,DKWozniak Design Build LL,,Isaac,
18-1080,Ladera-Heatherwood Apts Foundation Repai,"5851 South 152nd Street, Tukwila",,,,Scott,
18-0386,Lake Union Life,"100 East Edgar Street, Seattle",6592397,Ruff Construction,206-734-8968,Isaac,
18-0753,Lakeshore Residence,"420 39th Avenue East, Seattle",6605559,"Krekow Jennings, Inc.",(206) 979-2805,Walter,
17-0761,Lambert Residence - Enumclaw,"35817 249th Ave. SE, Enumclaw",,Swanson Brothers Concrete,(206) 255-5727,Isaac,
18-0659,Lansfjord Tavern,"6307 24th Ave NW, Seattle",6627875,"Lansfjord, LLC",(206) 510-3637,Jeff,
19-0046,Lanz Residence,"10415 Forbes Creek Drive, Kirkland",BSF18-01863,"Pacwest Construction, LLC",(206) 715-6200,Isaac,
18-0982,Lawton Street Residence,"3754 West Lawton Street, Seattle",6547821,"Dikmen Development, LLC",,Jeff,
17-0909,Leaf Apartments,"3309 Beacon Avenue South, Seattle",6485509,STS Construction Services,,Isaac,
19-0068,Leece Residence,"5101 Somerset Drive SE, Bellevue",19102977BU,"Seismic Northwest, LP",(360) 349-3857,Isaac,
19-0064,Leland Allen Project,"1653 Edgewood Ave SW, Seattle",6416987,Ericson Arch Home Design I,(206) 391-9513,Jeff,
17-0675,Lemley Residence,"2214 37th Avenue SW, Seattle",6224199,"Build, LLC",(253) 261-0695,Isaac,
18-0935,Levis - Action Special Inspections,"10600 Quilceda Blvd #300, Tulalip",,,(503) 381-6329,Jeff,
17-0697,Liberty Bank Building,"2320 E. Union Street, Seattle",6427812,Walsh Construction Compa,(206) 571-7332,Walter,
18-0008,LIHI Renton Commons,"215 Whitworth Avenue South, Renton",B17001987,Walsh Construction Compa,,Walter,
18-1049,Lilac Lodge,"5033 37th Avenue South, Seattle",6601176,"Ryan General Contractors, I",(206) 552-5954,Walter,
17-0905,Lincoln High School Modernization,"4400 Interlake Avenue North, Seattle",6540641,"Lydig Construction, Inc.",,Walter,
18-0477,Lincoln High School Sign,"701 S 37th Street, Tacoma",SIGN17-0094,"Plumb Signs, Inc.",(253) 473-3323,Isaac,
18-0745,Lineweaver Residence Slope Repairs,"6021 33rd Ave S, Seattle",,,,Scott,
19-0001,Lithia BMW of Seattle – Sales Building Rem,"1002 Airport Way South, Seattle",6627240-CN-001,"Kirtley-Cole Associates, LL",,Isaac,
18-1067,Lorde Residence,"8212 Crest Dr NE, Seattle",6637280,"RHH Construction, LLC",(425) 941-7830,Isaac,
18-1071,Lot 18,"8999 NE Shore Drive, Indianola",10-94727,Road Construction Northwe,(425) 531-1624,Isaac,
16-0153,Lower White River Countyline Levee Setbac,"A Street downstream to 8th Street, Pacific",,,425-306-7032,Anthony,
18-1063,Lucky Louie - SeaTac Airport,"17801 International Blvd., SeaTac",BLD-18-0081,"Wilcox Construction, Inc.",206-818-8358,Isaac,
18-1053,Lululemon - Action Special Inspections,"224 Bellevue Way NE, Bellevue",18119389BZ,,(503) 381-6329,Jeff,
19-0042,Luu Residence,"16635 SE 18th St, Bellevue",639286,Stone & Wind LLC,(360) 773-7552,Jeff,
18-0023,Magnolia Elementary School Renovation an,"2418 28th Avenue West, Seattle",6511044,Forma Construction Compa,(206)939-0163,Walter,
17-0485,Majiq T.I.,"8343 154th Avenue NE, Suite 200, Redmond",BLDG-2016-0935,Pattison General Contractor,(206) 856-4436,Walter,
18-0591,MAK Frelard Building AKA Reubens Brews,"800 NW 46th Street, Seattle",6617835,"Northway Construction, Inc.",,Isaac,
17-0231,Marinkovich Residence - Construction Monit,"11706 Exeter Avenue NE, Seattle",6321910,,,Scott,
14-0248,Marinkovich Residence - Design Phase,"11706 Exeter Avenue NE, Seattle",,"Marinkovich, Michael",,Scott,
19-0018,Maritime Building,"906 Alaskan Way, Seattle",,,,Jeff,
19-0019,Market Place Building,"2001 and 2003 Western Avenue, Seattle",,,,Jeff,
19-0071,Mary Rowhouse,"6725 Mary Ave NW, Seattle",6597678,Turnkey Builders,(206) 353-1361,Jeff,
18-1083,Mathiasen Residence,"10203 NE 29th Place, Bellevue",18 114458 BR,"Karlstrom Associates, Inc.",(425) 220-9788,Jeff,
19-0010,McCaffrey Residence,"6718 21st Ave NW, Seattle",6670564-CN-002,"Huus, Inc.",(206) 618-6376,Jeff,
18-0455,McClure Residence,"1530 31st Avenue, Seattle",n/a,Pathway Design & Construc,,Anthony,
18-0845,McEvoy Residence,"5050 36th Avenue NE, Seattle",6574181,,,Isaac,
18-0910,McFarlane Residence,"13024 Thomas Rd KPN, Gig Harbor",KH0913,Lobo Construction,(206) 251-3983,Isaac,
18-0960,McKee 714,"714 10th Ave E, Seattle",6542140,BG Construction LLC,,Isaac,
19-0092,Meadowbrook Pool,"10515 35th Ave NE, Seattle",6624594-CN-001,Biwell Construction,(206) 423-1917,Isaac,
19-0012,Medgar Evers Pool,"500 23rd Avenue, Seattle",6646301,Biwell Construction,,Walter,
18-0961,Meridian 106,"2100 N 106th Street, Seattle",6486615,,,Scott,
18-0454,Mid Town Apartments,"8820 Aurora Ave N, Seattle",6546477,Epic Construction Managem,(206) 369-8786,Isaac,
18-0929,Military Road S & S 298th Street Compact,"Military Rd S & S 298th St, Federal Way",,"Tunista Construction, LLC",,Jeff,
18-0931,Miller Community Center ADA Upgrades,"330 19th Avenue E, Seattle",6479613,Centennial Contractors Ente,(206) 769-5237,Isaac,
18-0626,Miller Remodel,"2326 Bigelow Avenue North, Seattle",6633686,"GKO Construction, LLC",(206) 383-1938,Isaac,
18-1004,Mims Residence (Damian),"12507 64th Ave S, Seattle",ADDC18-0572,J. M. Edwards Construction,(425) 375-8497,Jeff,
16-0522a,Mitchell Project (Aaron) - Lot 1,"3229 106th Avenue SE, Bellevue",14-143411 BS,STS Construction Services,(206) 510-7111,Isaac,
16-0522b,Mitchell Project (Aaron) - Lot 2,"3227 106th Avenue SE, Bellevue",14-143407 BS,STS Construction Services,(206) 510-7111,Isaac,
17-0053,Mitchell Residence Retaining Wall,"8205 S 123rd Pl, Seattle",,,,Scott,
18-1062,Monte Cristo Square,"9150 23rd Ave NW, Seattle",6632174,,,Isaac,
18-0800,Moran Residence,"8943 NE 192nd Place, Bothell",BSF2018-18513,"Molucule Design Build, Inc.",(206) 795-9955,Jeff,
19-0089,Morris Residence,"2711 East Roy Street, Seattle",,,,Anthony,
18-0754,Mount Baker Family Housing,"2870 South Hanford Street, Seattle",6604088,Walsh Construction Compa,206-571-2399,Walter,
18-0074,Mount Baker Station Apartments - 2615 Nort,"2615 25th Ave S, Seattle",6309478,Osborne Construction Com,(425) 305-7401,Walter,
18-0073,Mount Baker Station Apartments - 2715 Sou,"2715 25th Ave S, Seattle",6535937,Osborne Construction Com,(425) 305-7401,Walter,
19-0022,Mountain View,"885 SE Cedar Falls Way, North Bend",,Polygon Northwest,(425) 931-8977,Walter,
18-0968,Mud Bay - Renton,"17320 140th Ave Southeast, Bldg E, Suites 9-1",ADDC18-0419,Western Construction Servi,(360) 601-7931,Jeff,
19-00431,My Salon Suites,"17214 Highway 99, Lynnwood",BTI-018688-2018,Elder Construction,(206) 658-7458,Jeff,
18-0729,Natera Storage Facility,"3215 S. 116th Street, Bldg 3, Ste. 109, Tukwila",D18-071,G3 Builders,206-719-0104,Isaac,
18-0105,Nesbit Apartments,"8558 Nesbit Avenue N, Seattle",6445306,"Stratford Co., LLC",(206) 890-8790,Isaac,
18-0553,Neuburger Residence Garage Renovation,"306 West Prospect Street, Seattle",6075197,S2 Builders,(206) 778-3354,Scott,
18-0636,New Elementary School at Zenith Park (Des,"1598 S. 240th Street, Des Moines",BLD2018-0102,Vanir Construction Manage,,Isaac,
18-1079,New Life Church,"15711 152nd Avenue NE, Renton",,,,Jeff,
17-0554a,N-Habit Rainier Apartments,"718 Rainier Avenue South, Seattle",6557651,WG Clark Construction Co,,Walter,
17-0867,Nissan Seattle - HBI860154,"3412 Airport Way South, Seattle",,"Hayward Baker, Inc.",(206) 321-7261,Jeff,
18-1014,NMT Redevelopment - AHU Replacement,"1229 Madison Street, Floor 5, Seattle",6682830-ME,MacDonald-Miller Facilities,(206) 423-7459,Isaac,
17-0576a,Northgate III (aka Northgate 8th) - Structural,"10711 8th Avenue NE, Seattle",6572059,"Rafn Company, Inc.",(206) 510-4880,Walter,
18-0151,Northwest 63rd Street,"1443 NW 63rd Street, Seattle",6496710,"Greenbuild Development, L",(253) 269-2748,Isaac,
18-0592,Nut Tree Holdings Alteration,"7710 185th Ave NE, Redmond",BLDG201707133,Nussbaum Group,(206) 639-9281,Isaac,
18-0940,NWCP Kent Building S Cosmos 8610,"8610 S 212th Street, Kent",CNST-2182171,Boyce Construction,(206) 255-6493,Isaac,
19-0078,Office Depot Column Repair,"7500 142nd Ave E #400, Sumner",N/A,Omega Riggers & Erectors,(36) 480-4914,Jeff,
18-0870,Old Bartell's,,2-Jan,6694258-CN,Southcreek Construction LL,(425) 785-3998,Jeff
18-0459,Olympic Middle School Reconstruction,,0,BLDG18-0038,Absher Construction Compa,253-279-9282,Walter
16-0817a,Peralta Orthodontics - HVAC,,2-Jan,6562709,"WR Hanson, Inc.",(206) 719-1217,Isaac
18-0683,Peyree Residence,,2-Jan,1706-083,Gallagher Co.,(206) 730-8870,Isaac
19-0014,Phair Residence (Desiree),,2-Jan,,"Seismic Northwest, LP",(206) 899-7148,Isaac
19-0057,Pier 91 East Mooring System Maintenance,,2-Jan,n/a,Port of Seattle Marine Maint,(253) 227-2114,Isaac
18-0977,Pierce College,,2-Jan,,"Plumb Signs, Inc.",(253) 414-8812,Jeff
18-0764,Pigott Residence Garage,,2-Jan,6566354,"Ventana Construction, LLC",(206) 795-3829,Isaac
19-0094,Pinehurst Mixed Use (Northline),,2-Jan,6541734,PSW Real Estate,(509) 992-7529,Jeff
16-0794,Pioneer Square Hotel Annex,,2-Jan,6088080,Venture General Contractin,(206) 939-2530,Isaac
18-1001,Polish Nails Spa,,2-Jan,,Adekco1 LLC,(206) 412-1475,Jeff
18-0421,Ponnusamy Residence Garage,,2-Jan,6578543,Pile King,,Isaac
18-0951,Portage Bay Park (aka Fritz Hedges Waterw,,2-Jan,6534351,Orion Marine Group,,Walter
18-0801,Precision Iron Works - Misc.,2018,2-Jan,,,,Isaac
18-0740,Precision Sheet Metal Fabricators Expansio,,2-Jan,6504882,"SCL Enterprises, LLC",(206) 362-1195,Isaac
19-0009,Project Bellevue,,2-Jan,,JT Property Development,(206) 334-5819,Scott
18-0577,PSE South King Complex T.I. Phase II,,2-Jan,CNST-2180830,"Hodge Construction, Inc.",(425) 864-3669,Jeff
18-0599,Queen Anne Elementary School,,2-Jan,6568320,Hensel Phelps,(321) 205-4159,Isaac
18-0933,Queen Anne Pool,,2-Jan,6616134,Biwell Construction,425-351-2669,Walter
17-0694a,"R&D Building - Third & Wall T.I., Suites 202",,2-Jan,6547696,"3443, LLC",(206) 999-0814,Isaac
18-1085,Rachel's Residence Remodel and Addition,,2-Jan,6677152-CN,Armata Construction Servic,(206) 412-4515,Jeff
18-1043,Rainier Bottling Plant - In Plane Masonry Sh,,2-Jan,,Finishing Touch Masonry &,,Jeff
18-0429,Rainier Court IV - West Apartments,,2-Jan,6538406,Venture General Contractin,(206) 900-2530,Walter
17-0260a,Rainier Court IV East Retaining Wall,"3603 35th Avenue South, Seattle",6527528,InterCity Contractors,,Walter,
17-0260b,Rainier Court IV West Retaining Wall,"3616 34th Avenue South, Seattle",6527500,InterCity Contractors,,Walter,
18-0839,Rainier Duplexes - Units C & D,"7109 Rainier Avenue, Everett",C1712-005,Reykdal Construction,(425) 750-1146,Isaac,
18-0840,Rainier Duplexes - Units E & F,"7109 Rainier Avenue, Everett",C1712-006,Reykdal Construction,(425) 750-1146,Isaac,
18-0841,Rainier Duplexes - Units G & H,"7109 Rainier Avenue, Everett",C1712-007,Reykdal Construction,(425) 750-1146,Isaac,
18-0906,Rainier Industries Turbak,"310 Washington Ave North, Kent",CNST-2181158,"Rainier Industries, Ltd.",(253) 334-9724,Isaac,
18-0827,Ravenna Townhomes,"6556 Ravenna Avenue NE, Seattle",6600656,"PSW SEATTLE, LLC",(206) 793-4230,Jeff,
18-0765,Reade14 Townhomes - 2214,"2214 14th Avenue South, Seattle",6594703,Arnon Construction Operati,(206) 353-8263,Jeff,
18-0829,Renton Daycare,"12616 Renton Avenue South, Renton",ADDC18-0183,"RB & Sons Construction, LL",(206) 799-5531,Isaac,
18-0380,Ring Custom,"4216 Shoreclub Drive, Mercer Island",1706-292,"JayMarc Custom Homes, L",(425) 417-5818,Isaac,
16-0175,Riverfront Simpson,"4312 30th Drive SE, Everett",various,Polygon Northwest,425-512-3480,Walter,
18-0767,Robbins & Co. Miscellaneous - 2018,"Various,",,,,Anthony,
17-0219,Robins Nest Apartments,"3272 Fuhrman Ave E, Seattle",6511719,SACO Construction Corpora,(425) 941-7272,Jeff,
18-0999,Robotics Cell,"1800 140th Avenue E, Sumner",n/a,Omega Riggers & Erectors,,Walter,
19-0082,Roewe Residence,"151 Ward Street, Seattle",6607581-CN,"TrueBuilders, Inc.",206-793-5289,Isaac,
18-1073,Roque Residence Foundation,"5212 104th St E, Tacoma",898466,Solid Rock Construction,(406) 853-1756,Jeff,
18-0770,Ruettgers Residence,"2030 Parkside Drive East, Seattle",6629665,"McKinney Group, Inc.",(206) 669-1230,Isaac,
16-0285,S.K.B.A. Buddhist Temple,"824 South 100th Street, Seattle",COMN13-0014,"Bay View Construction, Inc.",(206) 272-0707,Walter,
18-0253,S9-215,"215 1st Avenue North, Seattle",6583982,"Stratford Co., LLC",(206) 234-4556,Isaac,
18-1029,Sacred Circle Kiosk,"5011 Bernie Whitebear Way, Seattle",Seatac: 9626,American Paint & Coating,(425) 681-7736,Isaac,
19-0098,Sage Apartments,"1710 NW 57th Street, Seattle",6621368-CN,JMS Construction,(206) 474-6264,Isaac,
13-0593c,Sammamish High School Gateway Concess,"100 140th Avenue SE, Bellevue",,Spee West Construction,(206) 719-8097,Walter,
13-0593b,Sammamish High School South Vault,"100 140th Avenue SE, Bellevue",16-136532BH,Spee West Construction,(206) 719-8097,Walter,
13-0593d,Sammamish HS Batting Cages,"100 140th Avenue SE, Bellevue",16-136481BB,Spee West Construction,206-719-8097,Walter,
13-0593a,Sammamish HS Glass Studio,"100 140th Avenue SE, Bellevue",16-136481BB,Spee West Construction,(206) 719-4833,Walter,
18-0678,Samsel Project,"2814 Boyer Ave E, Seattle",6464898-CN,"Brightwork Builders, LLC",(206) 650-5165,Jeff,
17-0118,Sand Point Building 9,"7101 62nd Avenue NE, Seattle",6466033,"Rafn Company, Inc.",(206) 510-3836,Walter,
19-0037,Schuler Residence,"8221 SE 36th St, Mercer Island",1810-161,"RGN Construction, LLC",(206) 919-7150,Isaac,
19-0017,Scout Lake,"3129 East Ames Lake Drive NE, Redmond",DWEL17-0396,Dovetail General Contractor,(206) 473-1548,Jeff,
17-0155a,SCRI Building Cure - Structural,"1920 Terry Avenue, Seattle",6531443,"Lease Crutcher Lewis, Inc.",,Jeff,
17-0155b,SCRI Building Cure (Lease Crutcher Lewis),"1920 Terry Avenue, Seattle",,,,Jeff,
18-0169,SeaTac North Satellite,"102 Frontage Road S, Pacific",,"Precision Iron Works, Inc.",(253) 887-5555X2,Isaac,
19-0015,Seattle Children's Clinic Bellevue - X-Ray R,"1500 116th NE, Bellevue",18 129804 BZ,"Aldrich & Associates, Inc.",(206) 396-0290,Jeff,
18-0704,Seattle Genetics Building 6 Structural Upgra,"22333 29th Drive SE, Bothell",BNR2018-18690,"Lease Crutcher Lewis, Inc.",(425) 985-1913,Walter,
18-1026,Seattle Hampton,"700 5th Ave N, Seattle",6575853,Phamily Construction,(206) 954-5861,Isaac,
19-0028,Seattle Made,"SeaTac International Airport, enter C Terminal,",BLD-18-0073,"Altitude, Inc.",(206) 488-9601,Isaac,
18-0991,Seattle Modern Living,"4912 S Willow St, Seattle",394888,Hultquist Homes,(425_ 654-9694,Jeff,
18-1084,Seattle Pacific University - PT Tendon Repa,"36 Cremona Street, Bldg 6, Seattle",6578680*,Arcon Tenant Improvement,(425) 213-3306,Jeff,
18-0934,Self Storage @ Tehaleh,"15125 198th Ave E, Bonney Lake",884686,Carl J. Sanders Constructio,(206) 730-8030,Walter,
19-0091,Senegor Project,"1633 10th St W, Kirkland",BSF2018-00481,Rainier Custom Homes,(425) 999-1262,Isaac,
17-0801,Service Tunnel Renewal Project,"SeaTac International Airport, SeaTac",,James W. Fowler Company,(360) 286-4602,Jeff,
17-0801a,Service Tunnel Renewal Project (JW Fowler,", SeaTac",,,,Jeff,
18-0706,Shi/Wang Residence,"6031 77th Ave SE, Mercer Island",1607-166,"JayMarc Custom Homes, L",(425)444-2055,Isaac,
18-1045,Silverlake Apartments,"128 127th St SE, Everett",,"Moncrieff Construction, Inc.",(360) 815-1576,Jeff,
18-0705,Skal Beer Hall,"5429 Ballard Ave NW, Seattle",6629522,"Method Construction, Inc.",(408) 505-5386,Jeff,
19-0027,Skillet Diner NS-02,"SeaTac International Airport North Satellite, Se",BLD-18-0061,"Wilcox Construction, Inc.",(206) 496-8229,Jeff,
18-1036,Sleep Number - Bellevue,"1006 Bellevue Square, Bellevue",18 124291 BZ,"Timberwolff Construction, In",(909) 285-7604,Isaac,
18-1016,Snohomish County Courthouse - HBI860202,",",,"Hayward Baker, Inc.",(206) 419-9010,Jeff,
19-0079,Soft Surroundings,"3000 184th Street SW, #940, Lynnwood",BTl-019008-2018,Horizon Retail Construction,(262) 865-7704,Walter,
18-0854,Solis,"1300 E Pike, Seattle",6551143,"Cascade Built, LLC",(206) 902-7055,Isaac,
18-0351,Sound House Residence,"2231 Eastmont Way West, Seattle",6608487,"Thomaswerks, Inc.",(206) 914-9230,Isaac,
18-0869,Sound Transit U District Station N140,"4300 Brooklyn Ave NE, Seattle",N/A,University Mechanical Contr,(206) 356-1200,Isaac,
17-0992a,South Kenmore Office,"6704 NE 181st Street, Kenmore",BLD17-0810,GenCap Construction Corp.,(425) 301-6264,Jeff,
19-0038,South Lander Grade Separation,"2454 Occidental Ave S, Seattle (SDOT)",2017-025,"Flatiron West, Inc.",(425) 351-4623,Isaac,
19-0011,Souza Residence,"5219 Palatine Ave N, Seattle",6602658-CN,"Souza, Al",(206) 858-3885,Isaac,
18-1034,Space X,"22908 NE Alder Crest Drive, Redmond",n/a,Air Products and Chemicals,(360) 597-6357,Jeff,
18-0382a,Spiritwood - Unit #01,"3607 228th Avenue SE, Issaquah",BLD16-00402,Belotti McHugh Design and,(206) 229-7108,Isaac,
18-0382b,Spiritwood - Units #02 and 03,"3607 228th Avenue SE, Issaquah",BLD16-00403,Belotti McHugh Design and,(206) 229-7108,Isaac,
18-0382c,Spiritwood - Units #04 and 05,"3607 228th Avenue SE, Issaquah",BLD16-00404,Belotti McHugh Design and,(206) 229-2108,Isaac,
18-0382d,Spiritwood - Units #06 and 07,"3607 228th Avenue SE, Issaquah",BLD16-00405,Belotti McHugh Design and,(206) 229-7108,Isaac,
18-0382e,Spiritwood - Units #08 and 09,"3607 228th Avenue SE, Issaquah",BLD16-00406,Belotti McHugh Design and,(206) 229-7108,Isaac,
18-0382f,Spiritwood - Units #10 and 11,"3607 228th Avenue SE, Issaquah",BLD16-00407,Belotti McHugh Design and,(206) 229-7108,Isaac,
18-0382g,Spiritwood - Units #12 and 13,"3607 228th Avenue SE, Issaquah",BLD16-00408,Belotti McHugh Design and,(206) 229-7108,Isaac,
18-0382h,Spiritwood - Units #14 and 15,"3607 228th Avenue SE, Issaquah",BLD16-00409,Belotti McHugh Design and,(206) 229-2108,Isaac,
18-0382i,Spiritwood - Units #16 and 17,"3607 228th Avenue SE, Issaquah",BLD16-00410,Belotti McHugh Design and,(206) 229-7108,Isaac,
11-0593,SR 99 Bored Tunnel Design Build [South Po,"Alaskan Way, Seattle",,Seattle Tunnel Partners,(206) 228-6269,Jeff,
18-0918,ST Mercer Island Follow On Work (73490-0,"NW corner of N Mercer Way & 76th, Mercer Isl",N/A,Centennial Contractors Ente,(520) 631-2618,Jeff,
